filename,slug,aesthetic_category,order,width,height,description,dominant_token,dominant_css3_name,palette_tokens,palette_css3_names,source
painterly-illustration__hardwired.png,hardwired,painterly-illustration,,1000,1000,A row of leaning wooden utility poles and tangled wires along an overgrown forest roadside at dusk. Atmospheric painted scene in deep blues and greens.,#132626,black,#132626 #1d4d66 #0f3553 #195386 #536f55 #2e4d33,black; darkslategray; darkslategray; teal; dimgray; darkslategray,https://protocolized.summerofprotocols.com/p/hardwired
painterly-illustration__hardwired__00.jpeg,hardwired,painterly-illustration,00,1000,714,"Stylized painterly illustration of a forest at dusk with leaning utility poles and tangled power lines over a mossy embankment and pale path, in deep blues and luminous greens.",#142725,black,#142725 #205061 #0f3552 #1c5989 #2d4e32 #537053,black; darkslategray; darkslategray; teal; darkslategray; dimgray,https://protocolized.summerofprotocols.com/p/hardwired
painterly-illustration__haven-tailors.png,haven-tailors,painterly-illustration,,2048,2048,"A vivid mid-century-style painted interior of a tailor or clothing shop with a rack of colored garments, a glowing sunburst on an orange wall, and a suited man viewing a large moon through an angular window. Saturated orange, blue, and yellow palette with a retro illustrative feel.",#e45d32,chocolate,#e45d32 #5c5166 #1d4f76 #dd9b5e #4c385f #34345e,chocolate; dimgray; darkslategray; sandybrown; darkslategray; darkslategray,https://protocolized.summerofprotocols.com/p/haven-tailors
painterly-illustration__human-enough-dae__00.png,human-enough-dae,painterly-illustration,00,2048,2048,"Painterly sci-fi scene of monolithic cylindrical towers with red-lit slits surrounding a domed structure, a lone figure on a reflective red-and-teal plaza.",#5a6762,dimgray,#5a6762 #2d2a2b #708b77 #8d9f92 #689289 #1ea09f,dimgray; darkslategray; gray; darkseagreen; slategray; lightseagreen,https://protocolized.summerofprotocols.com/p/human-enough-dae
painterly-illustration__in-the-garden-of-eden-baby__06.jpeg,in-the-garden-of-eden-baby,painterly-illustration,06,840,840,A stylized illustration of a teal Vespa scooter in a pink alley with three figures walking toward a sunset.,#242020,black,#242020 #a66a63 #4e322c #5c4836 #b68671 #695b4f,black; indianred; darkslategray; darkolivegreen; rosybrown; dimgray,https://protocolized.summerofprotocols.com/p/in-the-garden-of-eden-baby
painterly-illustration__lessons-from-the-librarians__00.png,lessons-from-the-librarians,painterly-illustration,00,1000,714,Stylized retro sci-fi render of a massive angular yellow concrete structure with a porthole window and purple glow under a starry sky.,#1a95a8,lightseagreen,#1a95a8 #072d4e #0d1a2f #1b565c #a58a5d #f3cb66,lightseagreen; midnightblue; black; darkslategray; peru; sandybrown,https://protocolized.summerofprotocols.com/p/lessons-from-the-librarians
painterly-illustration__libraries-of-tomorrow.png,libraries-of-tomorrow,painterly-illustration,,2048,2048,"Painterly illustration of a vast futuristic library canyon with towering curved bookshelves and skyscraper-like structures, two tiny figures walking on a reflective floor below. Atmospheric, monumental scale with warm orange accents against cool blue.",#151f27,black,#151f27 #ebe7d5 #9fa7a3 #54615f #344954 #253547,black; antiquewhite; darkgray; dimgray; darkslategray; darkslategray,https://protocolized.summerofprotocols.com/p/libraries-of-tomorrow
painterly-illustration__mismatch.png,mismatch,painterly-illustration,,1000,1000,"A close-up of a pale blue-grey appliance or machine panel with a keypad, a coin slot, and a recessed digital display, set against a green background. The clean photographic crop emphasizes industrial product detail.",#d9e1e3,gainsboro,#d9e1e3 #c1cc8a #9daca6 #181b0c #576058 #b6c5cb,gainsboro; tan; darkgray; black; dimgray; silver,https://protocolized.summerofprotocols.com/p/mismatch
painterly-illustration__necrophoresis__07.png,necrophoresis,painterly-illustration,07,1355,1355,"Muted retro illustration of a dim cluttered room with vintage computers, an orange desk, and two glowing-eyed ghost-like creatures under streaks of rain.",#2d2a22,darkslategray,#2d2a22 #e39751 #574e37 #54604c #d96f37 #a15835,darkslategray; sandybrown; darkolivegreen; darkolivegreen; peru; sienna,https://protocolized.summerofprotocols.com/p/necrophoresis
painterly-illustration__noise-ordinance.png,noise-ordinance,painterly-illustration,,2048,2048,"A stylized nighttime street scene with low lit suburban buildings, bare trees, a red truck on a wet road, and a bright sun or moon in a dark sky. Muted, moody mid-century illustration style.",#162326,black,#162326 #e4b05d #5e5332 #5f6a54 #917451 #a18c54,black; sandybrown; darkolivegreen; dimgray; dimgray; peru,https://protocolized.summerofprotocols.com/p/noise-ordinance
painterly-illustration__operationalizing__00.png,operationalizing,painterly-illustration,00,2048,2048,"Cyberpunk concept art of a vast industrial corridor with a huge teal capsule looming overhead, glowing yellow light, and a lone figure walking, bathed in pink and purple haze.",#9d65a0,gray,#9d65a0 #65578e #16202e #31546a #263551 #de94a3,gray; darkslateblue; black; darkslategray; darkslategray; palevioletred,https://protocolized.summerofprotocols.com/p/operationalizing
painterly-illustration__phantom-in-eden__00.png,phantom-in-eden,painterly-illustration,00,1000,714,"Small surreal render of a pale ovoid pod opening into a tunnel of nested arches with green foliage, in muted mint and cream tones.",#d0d7ad,silver,#d0d7ad #dde2cb #9b9a68 #b2cda1 #94a988 #ceb164,silver; gainsboro; gray; silver; darkseagreen; darkkhaki,https://protocolized.summerofprotocols.com/p/phantom-in-eden
painterly-illustration__signals-in-the-margins__00.jpeg,signals-in-the-margins,painterly-illustration,00,1000,714,Hazy purple-toned painterly scene of a vehicle in fog or snow with glowing magenta headlights.,#7560a3,slategray,#7560a3 #8a64b3 #6a32a0 #a855c7 #e036e6 #a834ca,slategray; slateblue; darkslateblue; mediumorchid; mediumorchid; darkorchid,https://protocolized.summerofprotocols.com/p/signals-in-the-margins
painterly-illustration__soda-sweet-as-blood__05.png,soda-sweet-as-blood,painterly-illustration,05,1000,1000,Dim painterly interior at dusk with warm orange light across the room and a small glowing green ghost-like figure peering up in the foreground.,#121217,black,#121217 #e26222 #562f21 #ee9a53 #f78d34 #a45127,black; chocolate; saddlebrown; sandybrown; coral; sienna,https://protocolized.summerofprotocols.com/p/soda-sweet-as-blood
painterly-illustration__songs-of-hydropolia__06.gif,songs-of-hydropolia,painterly-illustration,06,600,400,Minimalist seascape painting of sun reflecting on rippled blue ocean water in a long vertical streak toward the horizon.,#2a4f62,darkslategray,#2a4f62 #242f33 #326990 #253a47 #638ca9 #4a7797,darkslategray; darkslategray; steelblue; darkslategray; cadetblue; steelblue,https://protocolized.summerofprotocols.com/p/songs-of-hydropolia
painterly-illustration__the-entropic-gate-part-i.png,the-entropic-gate-part-i,painterly-illustration,,2048,2048,"Five translucent, bioluminescent humanoid figures ascend a steep rocky cliff under a large blue planet and starry night sky. Glowing, ethereal sci-fi render.",#0f0d0f,black,#0f0d0f #6c5e58 #8c715e #2c2e54 #614939 #4b3830,black; dimgray; dimgray; darkslategray; darkolivegreen; darkslategray,https://protocolized.summerofprotocols.com/p/the-entropic-gate-part-i
painterly-illustration__the-entropic-gate-part-ii.png,the-entropic-gate-part-ii,painterly-illustration,,2048,2048,"A painterly scene of a curved white crescent staircase descending from a monolithic tower toward a vast purple futuristic cityscape under a moonlit sky, with small caped figures on the steps. The textured brushwork conveys a dramatic, lonely mood.",#1d1f28,black,#1d1f28 #5d5461 #31324a #aca797 #d4c9ac #493a55,black; dimgray; darkslategray; darkgray; silver; darkslategray,https://protocolized.summerofprotocols.com/p/the-entropic-gate-part-ii
painterly-illustration__the-house-that-paid-its-own-bills__00.png,the-house-that-paid-its-own-bills,painterly-illustration,00,1000,1000,Soft painterly illustration of a potted plant on a windowsill with sunlight streaming through a hazy window.,#0a1915,black,#0a1915 #a0a899 #5f6e5e #a19565 #d6d4c4 #cac9b6,black; darkgray; dimgray; darkkhaki; lightgray; silver,https://protocolized.summerofprotocols.com/p/the-house-that-paid-its-own-bills
painterly-illustration__the-hungering-circuit__00.png,the-hungering-circuit,painterly-illustration,00,2048,2048,A sweeping black-and-orange ribbon coils through a vast turquoise modernist atrium with curved ramps and stairways and tiny figures; a surreal architectural digital painting.,#506a64,dimgray,#506a64 #1c1d33 #e1d4a0 #9dac8d #36535b #263147,dimgray; darkslategray; palegoldenrod; darkseagreen; darkslategray; darkslategray,https://protocolized.summerofprotocols.com/p/the-hungering-circuit
painterly-illustration__the-last-archive.png,the-last-archive,painterly-illustration,,2048,2048,"Two small figures walk a red-tiled path among colossal green tree-like columns bearing circular portals in a dense alien forest. Stylized retro-futurist illustration in green, blue, and orange.",#9fa34d,darkkhaki,#9fa34d #566653 #1e2a4d #1c1f36 #344c5d #d9ce60,darkkhaki; dimgray; midnightblue; darkslategray; darkslategray; darkkhaki,https://protocolized.summerofprotocols.com/p/the-last-archive
painterly-illustration__the-reverie-loop__00.png,the-reverie-loop,painterly-illustration,00,1000,714,Dense silhouetted forest of dark tree trunks with soft glowing yellow-blue light filtering between them; a moody atmospheric painting.,#252627,darkslategray,#252627 #5d625c #dfcd92 #9e9573 #a0a78c #cfb377,darkslategray; dimgray; burlywood; gray; darkseagreen; tan,https://protocolized.summerofprotocols.com/p/the-reverie-loop
painterly-illustration__the-signal-under-innsmouth.png,the-signal-under-innsmouth,painterly-illustration,,2048,2048,"A moody digital painting of a dark cyberpunk alley between towering buildings, lit by glowing orange lamps and a lone hooded figure standing at right. Atmospheric, dystopian mood.",#131a19,black,#131a19 #596363 #31474d #959e9f #647887 #233c43,black; dimgray; darkslategray; darkgray; slategray; darkslategray,https://protocolized.summerofprotocols.com/p/the-signal-under-innsmouth
painterly-illustration__the-signal-under-innsmouth__06.png,the-signal-under-innsmouth,painterly-illustration,06,1536,1024,"A dystopian dusk cityscape of weathered buildings and glowing orange windows with a central tower, rendered as atmospheric concept art.",#16180e,black,#16180e #ac885f #6d6a55 #534c38 #c5935f #8d7959,black; peru; dimgray; darkolivegreen; peru; gray,https://protocolized.summerofprotocols.com/p/the-signal-under-innsmouth
painterly-illustration__to-share-and-remember.png,to-share-and-remember,painterly-illustration,,2048,2048,"A row of translucent, bioluminescent humanoid figures of increasing height ascends a steep rocky cliff edge beneath a large blue planet in a starry black sky. The glowing figures against the realistic rock create a surreal, otherworldly scene.",#0f0d0f,black,#0f0d0f #6c5e58 #8c715e #2c2e54 #614939 #4b3830,black; dimgray; dimgray; darkslategray; darkolivegreen; darkslategray,https://protocolized.summerofprotocols.com/p/to-share-and-remember
painterly-illustration__towel-uprising.png,towel-uprising,painterly-illustration,,1000,1000,"A painted scene of a large floral-patterned cloth draped like a tent over a structure beside a pool, under a blue sky with cumulus clouds. Bright, crisp anime-influenced illustration with a calm, slightly surreal mood.",#2e648d,darkslateblue,#2e648d #9daa9d #2c5763 #619298 #242a27 #5c7160,darkslateblue; darkgray; darkslategray; cadetblue; darkslategray; dimgray,https://protocolized.summerofprotocols.com/p/towel-uprising
painterly-illustration__we-shape-our-tools-and-thereafter__04.png,we-shape-our-tools-and-thereafter,painterly-illustration,04,1000,1000,Moody low-resolution painterly rendering of an apartment building at night with softly glowing purple-lit windows against weathered orange-brown walls.,#614925,darkolivegreen,#614925 #4c371b #2b2111 #675457 #8c5a2f #8f6b5a,darkolivegreen; darkolivegreen; black; dimgray; sienna; dimgray,https://protocolized.summerofprotocols.com/p/we-shape-our-tools-and-thereafter
painterly-illustration__what-is-formal-protocol-theory__00.png,what-is-formal-protocol-theory,painterly-illustration,00,1000,714,"Minimal 3D render of floating geometric primitives (spheres, slabs, a speckled cube, an orange ball) suspended over a pale plane against a muted teal background.",#85a4a3,darkseagreen,#85a4a3 #e3e5d0 #070a06 #c7cab9 #7c9b9b #bac3b4,darkseagreen; gainsboro; black; silver; lightslategray; silver,https://protocolized.summerofprotocols.com/p/what-is-formal-protocol-theory
photographic__consensus-nightmares.jpeg,consensus-nightmares,photographic,,1024,1024,"Close-up of a square translucent slab resembling a circuit-board maze, swirled with green, pink, and white iridescent tones and punctured by several black holes, on a black backdrop. Tactile, abstract.",#111411,black,#111411 #93a4a6 #50685b #619263 #759291 #345436,black; darkgray; dimgray; dimgray; lightslategray; darkslategray,https://protocolized.summerofprotocols.com/p/consensus-nightmares
photographic__egregoretex.jpeg,egregoretex,photographic,,3024,3024,"A close-up photograph of frost-covered woodland undergrowth, showing dried ferns, twigs with red-and-white frosted leaves, and the weathered bark of a tree trunk. Muted natural winter tones with a cold, still mood.",#62605a,dimgray,#62605a #9e9f9b #2b2923 #cfd8d8 #4d4739 #928777,dimgray; darkgray; darkslategray; lightgray; darkslategray; gray,https://protocolized.summerofprotocols.com/p/egregoretex
photographic__have-your-factory-call-my-factory.jpeg,have-your-factory-call-my-factory,photographic,,4000,6000,"An aerial photograph of a dense coniferous forest of green pine trees viewed from above. The image is a flat, uniform texture of treetops with naturalistic lighting.",#5a612a,darkolivegreen,#5a612a #2c3029 #5c614a #3a452b #8d8c31 #97944f,darkolivegreen; darkslategray; darkolivegreen; darkslategray; olivedrab; gray,https://protocolized.summerofprotocols.com/p/have-your-factory-call-my-factory
photographic__introducing-the-protocol-institute__11.jpeg,introducing-the-protocol-institute,photographic,11,800,799,"A dense, fleshy 3D render of feathers, talons, and torn red-and-grey organic matter resembling a decaying creature.",#241815,black,#241815 #685b54 #562821 #946d5d #a69b99 #9f8e68,black; dimgray; saddlebrown; gray; darkgray; gray,https://protocolized.summerofprotocols.com/p/introducing-the-protocol-institute
photographic__latency__05.png,latency,photographic,05,1000,1000,Cropped variant of glassy water droplets dripping from reeds over a mottled teal-and-gold painterly backdrop.,#266058,darkslategray,#266058 #15271e #5c9c94 #51715d #979263 #568874,darkslategray; black; cadetblue; dimgray; gray; dimgray,https://protocolized.summerofprotocols.com/p/latency
photographic__mr-cork-and-the-red-bus__00.jpeg,mr-cork-and-the-red-bus,photographic,00,896,640,"Stylized grainy red-toned image of an aged hand reaching toward a red telephone box, with a bright lens flare and cinematic noise treatment.",#641010,maroon,#641010 #941415 #9e5356 #d95757 #685257 #3c1d1e,maroon; darkred; sienna; indianred; dimgray; darkslategray,https://protocolized.summerofprotocols.com/p/mr-cork-and-the-red-bus
photographic__signals-in-the-margins.png,signals-in-the-margins,photographic,,1000,1000,"A blurred, grainy photograph of an oncoming train or vehicle emitting bright magenta headlights through fog over wet pavement. The image is dominated by a purple-pink haze with an indistinct, atmospheric mood.",#755fa3,slategray,#755fa3 #8964b1 #67329b #aa5ac8 #e360e7 #e036e6,slategray; slateblue; darkslateblue; mediumorchid; orchid; mediumorchid,https://protocolized.summerofprotocols.com/p/signals-in-the-margins
photographic__the-whimsy-index__06.jpeg,the-whimsy-index,photographic,06,1254,1254,A heavily blurred amber-and-teal abstract render of a glowing rounded form with faint glowing text.,#242925,darkslategray,#242925 #67a6a5 #676150 #8b734e #988e66 #93ac9e,darkslategray; cadetblue; dimgray; dimgray; gray; darkseagreen,https://protocolized.summerofprotocols.com/p/the-whimsy-index
retro-vintage__a-chronicle-of-lumina__07.png,a-chronicle-of-lumina,retro-vintage,07,2048,2048,A neon-lit retro sci-fi illustration of a domed alien colony at night with a large red shoulder bag or device hanging in the foreground.,#55545a,dimgray,#55545a #32302d #66a6a8 #5ec5bc #e25e47 #5dc9c1,dimgray; darkslategray; cadetblue; mediumaquamarine; tomato; mediumaquamarine,https://protocolized.summerofprotocols.com/p/a-chronicle-of-lumina
retro-vintage__a-sea-of-distributed-ai.png,a-sea-of-distributed-ai,retro-vintage,,2048,2048,"A painted retro-futurist scene of a stag in profile beside a forested outcrop, facing a derelict spired city under a purple sky streaked with glowing red orbs and white contour lines. Mood is eerie and contemplative.",#23232a,darkslategray,#23232a #d4cea5 #5f5c66 #a1a19c #503352 #352f44,darkslategray; tan; dimgray; darkgray; darkslategray; darkslategray,https://protocolized.summerofprotocols.com/p/a-sea-of-distributed-ai
retro-vintage__brackish-strategy__00.png,brackish-strategy,retro-vintage,00,1000,714,"Mid-century-styled abstract collage in muted teal and orange with organic curves, a dotted spherical burst, and a vertical seismograph-like waveform.",#afd0c3,silver,#afd0c3 #dcdfb9 #e1e4c8 #9dac9d #ea6829 #1b1c1b,silver; palegoldenrod; gainsboro; darkgray; chocolate; black,https://protocolized.summerofprotocols.com/p/brackish-strategy
retro-vintage__fine-print__00.png,fine-print,retro-vintage,00,2048,2048,Retro mid-century sci-fi painting of a giant ribbon of printed text arcing over a blue mountain bay as small figures walk a coastal path.,#206168,darkslategray,#206168 #e1d498 #5c9f8c #a0a45b #d2b356 #e1ca65,darkslategray; khaki; cadetblue; darkkhaki; darkkhaki; burlywood,https://protocolized.summerofprotocols.com/p/fine-print
retro-vintage__genius-in-the-bottle__05.png,genius-in-the-bottle,retro-vintage,05,1000,1000,"Retro sci-fi cockpit and instrument panel with a viewport showing green waveform mountains and ghost-like shapes against a starfield, framed by vintage dials and gauges.",#1e1b22,black,#1e1b22 #292556 #686163 #9da164 #a19e95 #cec9a7,black; midnightblue; dimgray; darkkhaki; darkgray; silver,https://protocolized.summerofprotocols.com/p/genius-in-the-bottle
retro-vintage__one-tension-to-rule-them-all.png,one-tension-to-rule-them-all,retro-vintage,,2048,2048,"Retro sci-fi illustration of a technician in a green jumpsuit and yellow hard hat seated on a stool, working at a pink cylindrical tower on a barren lunar-like surface with a domed facility and beam of light. Vintage 1970s space concept-art aesthetic.",#121c31,black,#121c31 #27545b #183051 #d3d0ca #5b5e6b #a0a097,black; darkslategray; midnightblue; lightgray; dimgray; darkgray,https://protocolized.summerofprotocols.com/p/one-tension-to-rule-them-all
